runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime,MaxCompRuntime
0.000125,0,2,129,419,431,431,431,431,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.002123,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,5,7,0.000121
0.240856,14,28,23923,54954,1987,1987,1987,1987,3,3,3,4,3,0,0,0,0,0,0,0.000459,0,0,0,0,3.5e-05,0.002205,0.020459,0.020844,0.018358,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,30,10,0.24077
0.000805,0,1,436,1751,431,431,431,431,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002737,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,5,9,0
0.002415,1,4,829,3236,568,568,568,568,0,1,0,0,0,0,0,0,0,0,0,2.6e-05,0,0,0,0,1e-06,6.3e-05,0.000436,0.000445,0.009611,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,10,12,0.0024
0.006779,5,12,3924,11578,911,911,907,909,0,0,0,3,2,0,0,0,0,0,3e-06,6.9e-05,0,0.000453,0,0.000646,5e-06,0.000371,0.003898,0.003979,0.007724,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,15,10,0.003148
0.000556,0,1,436,1751,431,431,431,431,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.00179,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,5,7,0
0.000469,0,1,436,1751,431,431,431,431,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001803,WDG+GR+GC+T+BP with AStar,scens/den312d-even-25.scen:,5,0,0
0.032558,10,19,9631,28034,1361,1361,1352,1356,3,2,1,5,1,0,0,0,0,0.000174,8.8e-05,0.000251,0.000864,0.007856,0,0.006774,3e-05,0.000891,0.012346,0.012652,0.011066,CG+GR+DC+T+BP with AStar,scens/den312d-even-22.scen:,20,0,0
0.000259,0,2,237,899,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002769,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,12,0.000255
0.004601,3,6,1036,3931,568,568,567,568,1,2,0,0,0,0,0,1,0,0.000616,2e-06,2.7e-05,0,0,0,0.000134,1e-06,0.000149,0.001047,0.001067,0.008044,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,10,12,0.003409
0.005382,6,12,4173,12168,911,911,907,909,1,0,0,3,2,0,0,0,0,1e-06,7e-06,5.3e-05,2.9e-05,0.000354,0,0.000522,5e-06,0.00028,0.003453,0.00352,0.007134,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,15,9,0.001706
0.000535,0,1,277,1085,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002701,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,11,0
0.000932,1,4,539,1894,568,568,568,568,0,1,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,1e-06,3.3e-05,0.000235,0.000238,0.004058,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,10,9,0.000923
0.000523,0,1,277,1085,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002526,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,7,0
0.000322,0,1,277,1085,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001612,WDG+GR+GC+T+BP with AStar,scens/den312d-even-1.scen:,5,0,0
0.006486,5,11,4709,14261,911,911,903,907,0,0,0,3,2,0,0,0,0,3e-06,1e-05,5.6e-05,0,0.000322,0,0.000593,9e-06,0.000321,0.003636,0.00371,0.004566,CG+GR+GC+T+BP with AStar,scens/den312d-even-4.scen:,15,0,0
0.002468,1,3,861,3396,568,568,567,568,0,1,0,0,0,0,0,1,0,0.000608,2e-06,1.9e-05,0,1e-06,0,0.000138,0,6.2e-05,0.000457,0.000467,0.003764,WDG+GR+DC+T+BP with AStar,scens/den312d-even-8.scen:,10,0,0
0.010678,7,14,7740,23008,1322,1322,1322,1322,1,1,0,3,2,0,0,0,0,0,0,0.00013,0,0,0,0,1.1e-05,0.000389,0.00573,0.005892,0.015311,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,10,0.010641
0.010566,3,8,3005,9081,473,473,473,473,0,0,0,1,2,0,0,0,0,0,0,1.2e-05,0,0,0,0,3e-06,0.0002,0.001886,0.001904,0.003942,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-13.scen:,5,9,0.010558
0.002577,1,4,873,3649,594,594,594,594,0,1,0,0,0,0,0,0,0,0,0,3.2e-05,0,0,0,0,1e-06,5.4e-05,0.000366,0.000377,0.010813,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,10,11,0.002561
0.002089,3,8,1413,5307,780,780,780,780,0,0,0,0,3,0,0,0,0,0,0,4.7e-05,0,0,0,0,3e-06,0.000104,0.000734,0.000753,0.01547,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,15,33,0.00207
0.001803,4,8,1269,4523,780,780,778,779,1,0,0,0,3,0,0,0,0,2e-06,2e-06,3.7e-05,2.5e-05,1e-06,0,0.00024,3e-06,0.000109,0.000829,0.000848,0.00735,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,15,8,0.001133
0.002754,2,6,760,2859,594,594,594,594,0,2,0,0,0,0,0,1,0,0.000322,3e-06,2.5e-05,0,1e-06,0,0.000134,2e-06,0.00011,0.00066,0.000678,0.00784,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,10,13,0.002014
0.305126,18,36,30092,67455,2414,2414,2414,2414,3,4,2,8,3,0,0,0,0,0,0,0.000748,0,0,0,0,4.4e-05,0.002249,0.028997,0.02963,0.021447,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,35,10,0.304933
